City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,57.38,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
3,Hermanus,ZA,53.62,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Lima,PE,62.85,broken clouds,-12.0432,-77.0282,Hotel Kamana
22,Khor,RU,59.2,broken clouds,47.8861,134.9464,Gostinitsa Deksi
27,Yellowknife,CA,64.92,broken clouds,62.456,-114.3525,The Explorer Hotel
30,Port Elizabeth,ZA,54.32,clear sky,-33.918,25.5701,39 On Nile Guest House
31,Clyde River,CA,59.23,scattered clouds,70.4692,-68.5914,Qamaq Hotel
33,Port Lincoln,AU,53.46,clear sky,-34.7333,135.8667,Port Lincoln Hotel
35,Aldan,RU,66.92,broken clouds,58.6031,125.3894,Aldan Guest House
39,Severo-Kurilsk,RU,53.04,overcast clouds,50.6789,156.125,Kak Doma
47,Port Alfred,ZA,58.6,light rain,-33.5906,26.891,The Halyards Hotel
50,Haverfordwest,GB,65.79,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
58,Mar Del Plata,AR,60.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
62,Carnarvon,AU,66.07,few clouds,-24.8667,113.6333,Hospitality Carnarvon
67,Chipinge,ZW,55.92,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
74,La Ronge,CA,61.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
75,Vahagni,AM,60.64,broken clouds,40.907,44.6087,Arpi B&B
86,Geraldton,AU,59.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
87,Cidreira,BR,65.08,broken clouds,-30.1811,-50.2056,Hotel Castelo
89,Chuy,UY,64.74,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
92,Lovozero,RU,54.88,light rain,68.005,35.0117,Country house Lovozero
97,Faya,SA,66.72,light rain,18.3851,42.4509,املاك خالد الشعشوع
99,Ballyshannon,IE,64.26,overcast clouds,54.5,-8.1833,Dorrians Imperial Hotel
103,Sistranda,NO,57.16,overcast clouds,63.7256,8.834,Hotell Frøya
110,Mildura,AU,52.81,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
116,Eureka,US,59.94,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
119,Kaeo,NZ,56.32,moderate rain,-35.1,173.7833,Bushido Lodge
120,Lebu,CL,53.71,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
125,Fairbanks,US,54.3,mist,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
128,Thompson,CA,57.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
133,Sorland,NO,53.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
143,Fortuna,US,67.44,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
147,Elk Plain,US,62.22,overcast clouds,47.0532,-122.3976,Loveland Mobile Estates
150,Mackay,AU,56.68,clear sky,-21.15,149.2,International Lodge Motel
157,Havoysund,NO,52.03,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
158,Baruun-Urt,MN,62.08,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
159,East London,ZA,56.34,clear sky,-33.0153,27.9116,Tu Casa
160,Tocopilla,CL,65.21,scattered clouds,-22.092,-70.1979,Hotel Galvarino
163,Aklavik,CA,53.6,moderate rain,68.2191,-135.0107,Aklavik Inn
165,Sitka,US,55.06,light rain,57.0531,-135.33,Westmark Sitka
166,Ayagoz,KZ,65.61,broken clouds,47.9714,80.4392,ХАН
172,Hailar,CN,61.09,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
179,Kuytun,RU,55.63,light rain,54.3419,101.5036,Gostinitsa Tsentral'naya
183,Krasnoselkup,RU,56.17,scattered clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
185,Tres Arroyos,AR,64.35,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
187,Port Hardy,CA,59.18,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
202,Den Helder,NL,65.03,scattered clouds,52.9599,4.7593,Hotel Den Helder
206,Batemans Bay,AU,52.11,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
210,Pacific Grove,US,62.28,haze,36.6177,-121.9166,Lovers Point Inn
212,Plettenberg Bay,ZA,54.52,light rain,-34.0527,23.3716,Thanda Vista B&B
222,Berlevag,NO,53.4,overcast clouds,70.8578,29.0864,Kvitbrakka
223,Tzaneen,ZA,64.02,broken clouds,-23.8332,30.1635,Hotel @ Tzaneen
229,Bonavista,CA,65.12,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
230,Caluquembe,AO,65.73,broken clouds,-13.7833,14.6833,Hotel Kalukembe
236,Yulara,AU,58.93,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
237,Paso De Carrasco,UY,66.65,broken clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
239,At-Bashi,KG,64.47,clear sky,41.1702,75.8106,Hostel At-Bashy
251,Hualmay,PE,65.89,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
253,Koppang,NO,65.95,overcast clouds,61.5706,11.0555,Trya Camping
265,Port Hedland,AU,64.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
270,Nhulunbuy,AU,66.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
271,Korem,ET,64.27,moderate rain,12.5058,39.5228,Lakomeliza Hotel
272,Titisee-Neustadt,DE,67.64,broken clouds,47.9,8.1667,Hotel Treschers
274,Olafsvik,IS,52.79,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
277,Ahipara,NZ,55.45,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
282,Constitucion,CL,57.42,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
284,Butembo,CD,58.28,scattered clouds,0.15,29.2833,Hotel Butembo
285,Severnoye,RU,54.03,light rain,56.3491,78.3619,Gostinitsa Severyanka
299,Vilyuysk,RU,61.11,scattered clouds,63.7553,121.6247,Gostinitsa Viliuisk
