City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,57.38,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
3,Hermanus,ZA,53.62,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Busselton,AU,50.72,overcast clouds,-33.65,115.3333,Observatory Guest House
12,Bredasdorp,ZA,50.74,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
22,Khor,RU,59.2,broken clouds,47.8861,134.9464,Gostinitsa Deksi
29,Kruisfontein,ZA,51.73,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
30,Port Elizabeth,ZA,54.32,clear sky,-33.918,25.5701,39 On Nile Guest House
31,Clyde River,CA,59.23,scattered clouds,70.4692,-68.5914,Qamaq Hotel
33,Port Lincoln,AU,53.46,clear sky,-34.7333,135.8667,Port Lincoln Hotel
39,Severo-Kurilsk,RU,53.04,overcast clouds,50.6789,156.125,Kak Doma
47,Port Alfred,ZA,58.6,light rain,-33.5906,26.891,The Halyards Hotel
67,Chipinge,ZW,55.92,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
86,Geraldton,AU,59.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
92,Lovozero,RU,54.88,light rain,68.005,35.0117,Country house Lovozero
103,Sistranda,NO,57.16,overcast clouds,63.7256,8.834,Hotell Frøya
110,Mildura,AU,52.81,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
116,Eureka,US,59.94,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
119,Kaeo,NZ,56.32,moderate rain,-35.1,173.7833,Bushido Lodge
120,Lebu,CL,53.71,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
125,Fairbanks,US,54.3,mist,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
128,Thompson,CA,57.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
131,Severo-Yeniseyskiy,RU,51.78,light rain,60.3725,93.0408,Aktolik
133,Sorland,NO,53.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
150,Mackay,AU,56.68,clear sky,-21.15,149.2,International Lodge Motel
157,Havoysund,NO,52.03,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
159,East London,ZA,56.34,clear sky,-33.0153,27.9116,Tu Casa
163,Aklavik,CA,53.6,moderate rain,68.2191,-135.0107,Aklavik Inn
165,Sitka,US,55.06,light rain,57.0531,-135.33,Westmark Sitka
170,Andenes,NO,51.46,overcast clouds,69.3143,16.1194,Hotell Marena
179,Kuytun,RU,55.63,light rain,54.3419,101.5036,Gostinitsa Tsentral'naya
183,Krasnoselkup,RU,56.17,scattered clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
187,Port Hardy,CA,59.18,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
196,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
206,Batemans Bay,AU,52.11,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
212,Plettenberg Bay,ZA,54.52,light rain,-34.0527,23.3716,Thanda Vista B&B
219,Esperance,AU,51.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
222,Berlevag,NO,53.4,overcast clouds,70.8578,29.0864,Kvitbrakka
233,Saldanha,ZA,51.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
236,Yulara,AU,58.93,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
241,Surgut,RU,51.98,scattered clouds,61.25,73.4167,Business Hotel
242,Mehamn,NO,51.75,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
255,Puerto Varas,CL,50.88,broken clouds,-41.3195,-72.9854,Hotel Solace Puerto Varas
260,Husavik,IS,51.3,broken clouds,66.0449,-17.3389,Bjarnabúð
274,Olafsvik,IS,52.79,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
277,Ahipara,NZ,55.45,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
282,Constitucion,CL,57.42,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
284,Butembo,CD,58.28,scattered clouds,0.15,29.2833,Hotel Butembo
285,Severnoye,RU,54.03,light rain,56.3491,78.3619,Gostinitsa Severyanka
294,Yar-Sale,RU,51.3,overcast clouds,66.8333,70.8333,Yalemd
301,Milkovo,RU,54.93,broken clouds,54.7167,158.6167,"Hotel ""Geologist"""
306,Ketchikan,US,57.76,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
312,Swellendam,ZA,51.35,overcast clouds,-34.0226,20.4417,De Kloof Heritage Estate boutique Hotel & SPA
318,Vestmannaeyjar,IS,56.39,broken clouds,63.4427,-20.2734,Glamping & Camping
320,Byron Bay,AU,54.95,broken clouds,-28.65,153.6167,Backpackers Inn
334,Swan Hill,AU,53.24,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
335,Vardo,NO,51.73,overcast clouds,70.3705,31.1107,Vardø Hotel AS
339,Krasnovishersk,RU,56.19,overcast clouds,60.4078,57.082,Vishera hotel
344,Kemijarvi,FI,59.77,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
345,Grindavik,IS,53.31,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
355,Muzhi,RU,55.74,scattered clouds,65.3667,64.6667,Gostinitsa
373,Narsaq,GL,51.78,scattered clouds,60.9167,-46.05,Sleep In Narsaq
377,Haines Junction,CA,57.15,overcast clouds,60.7522,-137.5108,Parkside Inn
381,Brae,GB,54.57,overcast clouds,60.3964,-1.353,Busta House Hotel
409,Stokmarknes,NO,55.38,broken clouds,68.5646,14.9108,Vesterålen Kysthotell
416,Hofn,IS,53.02,scattered clouds,64.2539,-15.2082,Hótel Höfn
417,Ulladulla,AU,50.4,broken clouds,-35.35,150.4667,Sandpiper Motel
418,Ust-Tarka,RU,54.45,broken clouds,55.5672,75.705,Pearl of Siberia
426,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Hotel San Juan
435,General Roca,AR,56.62,light rain,-39.0333,-67.5833,Hotel El Recreo
437,Keroka,KE,55.51,overcast clouds,-0.7758,34.9453,Bunker Hotel Keroka
