,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,57.38,74,20,10.36,few clouds
1,San Quintin,MX,30.4833,-115.95,70.5,67,100,8.46,overcast clouds
2,Kapaa,US,22.0752,-159.319,77.32,77,20,16.11,few clouds
3,Hermanus,ZA,-34.4187,19.2345,53.62,67,35,7.31,scattered clouds
4,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,65,0,12.66,clear sky
5,Chokurdakh,RU,70.6333,147.9167,46.44,63,59,9.75,broken clouds
6,Busselton,AU,-33.65,115.3333,50.72,66,97,13.56,overcast clouds
7,Saint George,US,37.1041,-113.5841,99.32,17,88,8.84,overcast clouds
8,Pevek,RU,69.7008,170.3133,35.49,85,100,2.24,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,81.03,78,100,8.21,overcast clouds
10,Sao Paulo Do Potengi,BR,-5.895,-35.7628,84.31,68,91,12.24,overcast clouds
11,Tual,ID,-5.6667,132.75,78.57,80,99,13.09,overcast clouds
12,Bredasdorp,ZA,-34.5322,20.0403,50.74,73,69,5.03,broken clouds
13,Upernavik,GL,72.7868,-56.1549,43.21,96,100,5.61,overcast clouds
14,Lima,PE,-12.0432,-77.0282,62.85,72,75,8.05,broken clouds
15,Dikson,RU,73.5069,80.5464,54.09,71,85,10.78,overcast clouds
16,New Norfolk,AU,-42.7826,147.0587,48.9,85,95,1.41,overcast clouds
17,Nanortalik,GL,60.1432,-45.2371,45.61,87,55,11.07,broken clouds
18,Porto Santo,PT,33.072,-16.3415,73.78,73,40,13.8,scattered clouds
19,Synya,RU,65.3718,58.0387,50.83,88,86,2.1,overcast clouds
20,Ola,RU,59.5833,151.2833,56.32,86,97,0.49,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,32.49,89,84,2.57,broken clouds
22,Khor,RU,47.8861,134.9464,59.2,96,64,4.97,broken clouds
23,Hobart,AU,-42.8794,147.3294,48.27,93,100,3.44,overcast clouds
24,Victoria,HK,22.2855,114.1577,84.81,77,3,10.18,clear sky
25,Alofi,NU,-19.0595,-169.9187,69.69,94,76,14.97,broken clouds
26,Shimoda,JP,34.6667,138.95,75.11,88,95,6.8,overcast clouds
27,Yellowknife,CA,62.456,-114.3525,64.92,59,75,17.27,broken clouds
28,Bandarbeyla,SO,9.4942,50.8122,76.46,84,42,30.6,scattered clouds
29,Kruisfontein,ZA,-34.0033,24.7314,51.73,75,70,16.6,broken clouds
30,Port Elizabeth,ZA,-33.918,25.5701,54.32,89,0,19.57,clear sky
31,Clyde River,CA,70.4692,-68.5914,59.23,58,40,5.75,scattered clouds
32,Venado Tuerto,AR,-33.7456,-61.9688,77.0,52,65,6.91,broken clouds
33,Port Lincoln,AU,-34.7333,135.8667,53.46,76,0,10.38,clear sky
34,Nicoya,CR,10.1483,-85.452,83.59,75,86,4.03,overcast clouds
35,Aldan,RU,58.6031,125.3894,66.92,72,68,5.46,broken clouds
36,Hit,IQ,33.6416,42.8251,95.5,13,0,12.28,clear sky
37,Nikolskoye,RU,59.7035,30.7861,71.49,96,94,4.05,overcast clouds
38,Pervomaysk,UA,48.0443,30.8507,74.12,41,0,5.32,clear sky
39,Severo-Kurilsk,RU,50.6789,156.125,53.04,91,99,4.72,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,39.22,65,0,11.5,clear sky
41,Saint-Augustin,CA,51.226,-58.6502,66.47,84,98,11.16,overcast clouds
42,Rawson,AR,-43.3002,-65.1023,38.93,98,100,14.88,light rain
43,Vaini,TO,-21.2,-175.2,72.3,70,50,22.5,scattered clouds
44,Kodiak,US,57.79,-152.4072,49.51,81,75,3.44,broken clouds
45,Danville,US,36.586,-79.395,95.86,46,0,4.61,clear sky
46,Talnakh,RU,69.4865,88.3972,72.21,65,68,7.94,broken clouds
47,Port Alfred,ZA,-33.5906,26.891,58.6,73,94,21.07,light rain
48,Namatanai,PG,-3.6667,152.4333,78.46,78,6,5.55,clear sky
49,Barrow,US,71.2906,-156.7887,35.62,93,100,11.5,overcast clouds
50,Haverfordwest,GB,51.8017,-4.9691,65.79,93,100,5.99,overcast clouds
51,Albany,US,42.6001,-73.9662,95.18,39,0,1.01,clear sky
52,Leningradskiy,RU,69.3833,178.4167,34.38,91,99,10.8,overcast clouds
53,Phonhong,LA,18.5007,102.4166,74.82,95,97,2.3,overcast clouds
54,Torbay,CA,47.6666,-52.7314,79.57,78,100,10.36,overcast clouds
55,Hamilton,US,39.1834,-84.5333,80.44,63,20,13.8,few clouds
56,Qaanaaq,GL,77.484,-69.3632,36.97,97,100,0.29,overcast clouds
57,Faanui,PF,-16.4833,-151.75,79.47,72,3,13.13,clear sky
58,Mar Del Plata,AR,-38.0023,-57.5575,60.1,54,100,4.61,overcast clouds
59,Poum,NC,-20.2333,164.0167,74.93,80,7,11.86,clear sky
60,Kavaratti,IN,10.5669,72.642,81.25,79,100,17.45,overcast clouds
61,Tiksi,RU,71.6872,128.8694,45.01,90,78,4.36,broken clouds
62,Carnarvon,AU,-24.8667,113.6333,66.07,69,19,21.97,few clouds
63,Bluff,NZ,-46.6,168.3333,32.81,79,22,5.99,few clouds
64,Tasiilaq,GL,65.6145,-37.6368,41.52,76,100,1.52,overcast clouds
65,Ushuaia,AR,-54.8,-68.3,35.26,69,75,6.91,broken clouds
66,Rikitea,PF,-23.1203,-134.9692,71.76,71,6,8.32,clear sky
67,Chipinge,ZW,-20.1883,32.6236,55.92,65,50,4.03,scattered clouds
68,Ilhabela,BR,-23.7781,-45.3581,75.7,58,53,4.12,broken clouds
69,Provideniya,RU,64.3833,-173.3,44.1,83,98,7.7,overcast clouds
70,Castro,BR,-24.7911,-50.0119,73.04,41,100,5.23,overcast clouds
71,Tuktoyaktuk,CA,69.4541,-133.0374,41.34,94,100,14.03,light rain
72,Balaguer,ES,41.7912,0.8109,93.34,45,0,8.34,clear sky
73,Bocas Del Toro,PA,9.3333,-82.25,82.13,75,92,6.33,overcast clouds
74,La Ronge,CA,55.1001,-105.2842,61.05,67,75,8.05,broken clouds
75,Vahagni,AM,40.907,44.6087,60.64,80,59,2.24,broken clouds
76,Kedrovyy,RU,56.1667,91.8167,50.41,96,19,4.25,few clouds
77,Sault Sainte Marie,CA,46.5168,-84.3333,75.97,48,13,8.86,few clouds
78,Avarua,CK,-21.2078,-159.775,73.45,68,75,10.36,broken clouds
79,Senno,RU,59.5336,33.9167,69.26,67,10,5.68,clear sky
80,Tautira,PF,-17.7333,-149.15,78.94,74,3,16.08,clear sky
81,Bethel,US,41.3712,-73.414,93.09,25,80,4.79,broken clouds
82,Tiznit,MA,29.5833,-9.5,91.72,24,77,5.44,broken clouds
83,Weligama,LK,5.9667,80.4167,78.62,87,84,12.86,broken clouds
84,Vila Velha,BR,-20.3297,-40.2925,82.35,68,40,14.97,scattered clouds
85,Beira,MZ,-19.8436,34.8389,68.09,88,20,5.99,few clouds
86,Geraldton,AU,-28.7667,114.6,59.41,58,100,14.97,overcast clouds
87,Cidreira,BR,-30.1811,-50.2056,65.08,90,60,9.17,broken clouds
88,Atuona,PF,-9.8,-139.0333,76.77,81,29,18.88,light rain
89,Chuy,UY,-33.6971,-53.4616,64.74,88,97,7.58,overcast clouds
90,Lazaro Cardenas,MX,17.9583,-102.2,85.6,65,100,3.51,overcast clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,71.11,74,97,11.1,overcast clouds
