,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Baiao,BR,-2.7906,-49.6717,97.2,25,24,4.16,few clouds
1,Sangar,RU,63.9242,127.4739,60.21,82,9,5.59,clear sky
2,Mercedes,AR,-34.6515,-59.4307,73.02,65,59,8.43,broken clouds
3,Port Alfred,ZA,-33.5906,26.891,56.17,84,94,7.0,overcast clouds
4,Puerto Carreno,CO,6.189,-67.4859,85.98,70,20,9.22,few clouds
5,Kiama,AU,-34.6833,150.8667,50.45,93,10,4.47,clear sky
6,Tiksi,RU,71.6872,128.8694,44.73,92,84,4.74,broken clouds
7,Hobart,AU,-42.8794,147.3294,49.26,93,100,6.91,overcast clouds
8,Montevideo,UY,-34.8335,-56.1674,62.62,85,75,14.97,broken clouds
9,Constitucion,CL,-35.3333,-72.4167,57.45,79,100,4.38,overcast clouds
10,College,US,64.8569,-147.8028,52.09,91,40,4.61,mist
11,Niamey,NE,13.5137,2.1098,95.76,35,90,6.71,overcast clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,0,14.97,clear sky
13,Wegberg,DE,51.15,6.2667,79.21,34,78,7.72,broken clouds
14,Puerto Montt,CL,-41.4698,-72.9447,52.63,87,75,17.27,broken clouds
15,Neryungri,RU,56.6709,124.6491,61.86,81,33,3.56,scattered clouds
16,Thompson,CA,55.7435,-97.8558,56.43,71,100,8.25,overcast clouds
17,Nelson,NZ,-41.2833,173.2833,41.29,86,100,3.0,moderate rain
18,Padre Bernardo,BR,-15.35,-48.5,89.98,19,0,2.39,clear sky
19,Lufilufi,WS,-13.8745,-171.5986,79.56,73,1,2.98,light rain
20,Talnakh,RU,69.4865,88.3972,67.68,58,89,4.97,overcast clouds
21,Summerland,CA,49.5998,-119.6691,75.18,43,40,9.22,scattered clouds
22,Zajecar,RS,43.9036,22.2641,101.05,12,3,1.57,clear sky
23,Anuradhapura,LK,8.3565,80.4173,77.22,85,86,11.79,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,32.49,88,82,3.15,broken clouds
25,Monte Alegre,BR,-2.0078,-54.0692,91.15,45,21,2.84,few clouds
26,Medicine Hat,CA,50.0501,-110.6683,71.22,56,75,4.61,broken clouds
27,Lebu,CL,-37.6167,-73.65,53.67,91,100,5.86,overcast clouds
28,Rikitea,PF,-23.1203,-134.9692,71.74,72,16,7.87,few clouds
29,Upernavik,GL,72.7868,-56.1549,43.61,94,100,7.02,overcast clouds
30,Nikolskoye,RU,59.7035,30.7861,75.09,87,97,5.06,overcast clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,100,3.0,overcast clouds
32,Gazli,UZ,40.1333,63.45,101.93,14,0,18.99,clear sky
33,Khuzdar,PK,27.7384,66.6434,76.44,66,100,0.4,overcast clouds
34,Lukovetskiy,RU,64.2956,41.9211,62.4,95,96,6.49,moderate rain
35,New Norfolk,AU,-42.7826,147.0587,47.46,96,91,1.9,overcast clouds
36,Albany,US,42.6001,-73.9662,93.16,40,0,5.59,clear sky
37,Salalah,OM,17.0151,54.0924,78.89,89,75,8.05,broken clouds
38,Kapaa,US,22.0752,-159.319,76.37,74,12,10.96,few clouds
39,Ushuaia,AR,-54.8,-68.3,37.06,75,40,18.41,scattered clouds
40,Dikson,RU,73.5069,80.5464,54.97,71,99,13.27,overcast clouds
41,Padang,ID,-0.9492,100.3543,78.85,88,97,4.76,overcast clouds
42,Bluff,NZ,-46.6,168.3333,39.2,76,64,6.62,broken clouds
43,Rassvet,RU,46.8333,40.75,69.49,82,76,0.67,light rain
