City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2022-07-17 23:13:32,-22.9661,-42.0278,72.34,84,52,15.86
1,Bilma,NE,2022-07-17 23:08:42,18.6853,12.9164,88.52,36,31,3.67
2,Busselton,AU,2022-07-17 23:13:33,-33.65,115.3333,54.12,90,95,14.45
3,Hovd,MN,2022-07-17 23:13:33,48.0056,91.6419,63.72,44,10,9.26
4,Clyde River,CA,2022-07-17 23:13:34,70.4692,-68.5914,39.51,75,6,6.85
5,Thayetmyo,MM,2022-07-17 23:13:34,19.3167,95.1833,75.61,96,82,3.42
6,Cairns,AU,2022-07-17 23:13:35,-16.9167,145.7667,74.1,74,32,9.22
7,Torbay,CA,2022-07-17 23:13:35,47.6666,-52.7314,67.28,75,100,12.28
8,Upernavik,GL,2022-07-17 23:13:36,72.7868,-56.1549,40.42,92,26,13.69
9,Laguna,US,2022-07-17 23:13:36,38.421,-121.4238,108.75,17,0,13.8
10,Bijie,CN,2022-07-17 23:08:48,27.3125,105.2942,67.66,97,100,3.38
11,Bang Saphan,TH,2022-07-17 23:09:11,11.2126,99.5117,76.33,91,84,4.16
12,Yulara,AU,2022-07-17 23:13:37,-25.2406,130.9889,49.48,48,74,9.26
13,Lebu,CL,2022-07-17 23:13:38,-37.6167,-73.65,47.1,76,39,13.2
14,Sitka,US,2022-07-17 23:13:38,57.0531,-135.33,55.29,88,100,6.91
15,Rorvik,NO,2022-07-17 23:13:39,64.8621,11.2373,53.11,87,100,16.89
16,Atuona,PF,2022-07-17 23:13:39,-9.8,-139.0333,78.12,78,12,19.77
17,Mataura,NZ,2022-07-17 23:13:40,-46.1927,168.8643,53.47,55,98,13.35
18,Provideniya,RU,2022-07-17 23:13:40,64.3833,-173.3,50.36,71,40,22.37
19,Sovetskiy,RU,2022-07-17 23:13:41,61.3614,63.5842,58.21,61,100,2.71
20,Ushuaia,AR,2022-07-17 23:13:42,-54.8,-68.3,38.86,56,20,3.44
21,Nelson Bay,AU,2022-07-17 23:13:42,-32.7167,152.15,59.0,64,6,10.0
22,Opuwo,NA,2022-07-17 23:13:43,-18.0607,13.84,59.47,37,0,8.68
23,Ponta Do Sol,PT,2022-07-17 23:13:43,32.6667,-17.1,73.0,83,16,4.63
24,Esperance,AU,2022-07-17 23:13:44,-33.8667,121.9,53.8,92,100,16.62
25,Akyab,MM,2022-07-17 23:13:44,20.15,92.9,80.69,86,85,6.98
26,Airai,TL,2022-07-17 23:13:45,-8.9266,125.4092,56.43,81,40,2.98
27,Kimbe,PG,2022-07-17 23:13:45,-5.5502,150.1429,83.62,72,35,3.38
28,Saskylakh,RU,2022-07-17 23:13:46,71.9167,114.0833,50.63,47,98,9.66
29,Rikitea,PF,2022-07-17 23:13:46,-23.1203,-134.9692,73.62,80,91,12.91
30,Jacmel,HT,2022-07-17 23:13:47,18.2342,-72.5347,89.44,68,14,9.82
31,Mwinilunga,ZM,2022-07-17 23:13:47,-11.7358,24.4293,51.84,56,11,4.65
32,Yellowknife,CA,2022-07-17 23:13:48,62.456,-114.3525,68.09,57,100,12.39
33,Gambela,ET,2022-07-17 23:13:48,8.25,34.5833,70.34,96,100,2.98
34,Turukhansk,RU,2022-07-17 23:13:49,65.8167,87.9833,55.62,65,35,10.47
35,Kapaa,US,2022-07-17 23:13:49,22.0752,-159.319,85.98,73,75,14.97
36,Avarua,CK,2022-07-17 23:13:50,-21.2078,-159.775,77.05,73,100,12.66
37,Punta Arenas,CL,2022-07-17 23:13:08,-53.15,-70.9167,33.91,86,0,32.21
38,Touba,CI,2022-07-17 23:13:51,8.2833,-7.6833,70.38,96,99,7.96
39,Port Elizabeth,ZA,2022-07-17 23:13:51,-33.918,25.5701,73.09,36,2,13.09
40,Kruisfontein,ZA,2022-07-17 23:13:52,-34.0033,24.7314,70.88,42,1,8.68
41,Swift Current,CA,2022-07-17 23:13:52,50.2834,-107.8014,93.58,22,0,12.66
42,Saint-Philippe,RE,2022-07-17 23:13:52,-21.3585,55.7679,67.59,78,54,12.73
43,Khatanga,RU,2022-07-17 23:13:53,71.9667,102.5,59.16,60,100,4.32
44,Sudbury,CA,2022-07-17 23:12:28,46.49,-80.99,81.05,41,1,4.0
45,Souillac,MU,2022-07-17 23:13:54,-20.5167,57.5167,69.37,70,67,17.31
46,Butaritari,KI,2022-07-17 23:13:54,3.0707,172.7902,81.93,74,66,11.36
47,Oktyabrskoye,RU,2022-07-17 23:13:55,43.0645,44.7417,66.34,88,2,2.24
48,Hilo,US,2022-07-17 23:14:25,19.7297,-155.09,92.28,74,75,12.66
49,Iranshahr,IR,2022-07-17 23:14:55,27.2025,60.6848,92.57,48,100,9.22
50,Srednekolymsk,RU,2022-07-17 23:14:56,67.45,153.6833,56.32,40,9,9.86
51,Carnarvon,AU,2022-07-17 23:11:08,-24.8667,113.6333,57.27,100,40,5.75
52,Bethel,US,2022-07-17 23:14:37,41.3712,-73.414,80.69,70,0,5.75
53,Albany,US,2022-07-17 23:14:57,42.6001,-73.9662,86.65,55,99,6.2
54,Mayumba,GA,2022-07-17 23:14:58,-3.432,10.6554,69.71,89,30,3.09
